method,output,content,style,content_raw,content_norm,content_log,style_raw,style_norm,style_log
adain_alpha_0.8,temp.jpg,img_26.jpg,style_9.png,10.784992,0.00073,31.4,18278095744.045242,0.00145,28.4
adain_alpha_0.8,temp.jpg,img_27.jpg,style_0.png,10.688876,0.00088,30.6,23371050785.455257,0.00359,24.5
adain_alpha_0.8,temp.jpg,img_27.jpg,style_1.png,4.777512,0.00107,29.7,23955700850.141785,0.01228,19.1
adain_alpha_0.8,temp.jpg,img_27.jpg,style_2.png,11.410734,0.00059,32.3,22700576225.429188,0.00720,21.4
adain_alpha_0.8,temp.jpg,img_27.jpg,style_3.png,6.175954,0.00065,31.8,14579965862.377668,0.00335,24.7
adain_alpha_0.8,temp.jpg,img_27.jpg,style_4.png,8.966938,0.00084,30.8,10552607131.849798,0.00647,21.9
adain_alpha_0.8,temp.jpg,img_27.jpg,style_5.png,7.967287,0.00131,28.8,9407604419.500053,0.00289,25.4
adain_alpha_0.8,temp.jpg,img_27.jpg,style_6.png,7.673730,0.00034,34.6,11200093152.886454,0.00303,25.2
adain_alpha_0.8,temp.jpg,img_27.jpg,style_7.png,7.202348,0.00127,28.9,0.000000,0.00000,100.0
adain_alpha_0.8,temp.jpg,img_27.jpg,style_8.png,6.463665,0.00079,31.0,32156244624.898636,0.00244,26.1
adain_alpha_0.8,temp.jpg,img_27.jpg,style_9.png,7.460268,0.00087,30.6,13041755108.920416,0.00321,24.9
adain_alpha_0.8,temp.jpg,img_28.jpg,style_0.png,11.978678,0.00374,24.3,0.000000,0.00000,100.0
adain_alpha_0.8,temp.jpg,img_28.jpg,style_1.png,7.213554,0.00063,32.0,23834118093.780312,0.00839,20.8
adain_alpha_0.8,temp.jpg,img_28.jpg,style_2.png,10.787362,0.00110,29.6,24875761847.167515,0.00254,25.9
adain_alpha_0.8,temp.jpg,img_28.jpg,style_3.png,9.297825,0.00073,31.4,10904043299.920387,0.00244,26.1
adain_alpha_0.8,temp.jpg,img_28.jpg,style_4.png,6.486036,0.00255,25.9,31554173736.591225,0.02867,15.4
adain_alpha_0.8,temp.jpg,img_28.jpg,style_5.png,4.379852,0.00056,32.5,5212736660.523769,0.00514,22.9
adain_alpha_0.8,temp.jpg,img_28.jpg,style_6.png,5.918818,0.00019,37.3,4436828184.022805,0.00021,36.8
adain_alpha_0.8,temp.jpg,img_28.jpg,style_7.png,6.834590,0.00138,28.6,4809940641.925555,0.00685,21.6
adain_alpha_0.8,temp.jpg,img_28.jpg,style_8.png,7.710255,0.00090,30.5,4910674282.971316,0.00527,22.8
adain_alpha_0.8,temp.jpg,img_28.jpg,style_9.png,5.655628,0.00052,32.8,14317258514.553429,0.00241,26.2
adain_alpha_0.8,temp.jpg,img_29.jpg,style_0.png,5.319759,0.00090,30.5,26125727708.911015,0.00361,24.4
adain_alpha_0.8,temp.jpg,img_29.jpg,style_1.png,7.158415,0.00094,30.3,173121485.327295,0.00003,45.1
adain_alpha_0.8,temp.jpg,img_29.jpg,style_2.png,9.897664,0.00050,33.0,11465903437.565882,0.00112,29.5
adain_alpha_0.8,temp.jpg,img_29.jpg,style_3.png,8.138157,0.00034,34.7,25921705497.029465,0.00106,29.7
adain_alpha_0.8,temp.jpg,img_29.jpg,style_4.png,3.792614,0.00020,37.0,4080441261.923700,0.00267,25.7
adain_alpha_0.8,temp.jpg,img_29.jpg,style_5.png,4.083043,0.00037,34.3,3805168262.190940,0.00103,29.9
adain_alpha_0.8,temp.jpg,img_29.jpg,style_6.png,6.651898,0.00107,29.7,6573702378.774578,0.00364,24.4
adain_alpha_0.8,temp.jpg,img_29.jpg,style_7.png,12.735656,0.00090,30.5,12379363616.517479,0.00480,23.2
adain_alpha_0.8,temp.jpg,img_29.jpg,style_8.png,7.558912,0.00330,24.8,8165840190.233453,0.00715,21.5
adain_alpha_0.8,temp.jpg,img_29.jpg,style_9.png,3.358101,0.00069,31.6,0.000000,0.00000,100.0
